===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-13 04:09:20
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
123.154.238.4:85          | 有效频道:2 | 平均: 0.93 Mbps
219.139.124.61:8089       | 有效频道:2 | 平均: 6.13 Mbps
60.187.246.126:85         | 有效频道:2 | 平均: 0.51 Mbps
183.237.71.182:40000      | 有效频道:2 | 平均: 3.12 Mbps
144.0.23.162:8085         | 有效频道:2 | 平均: 7.22 Mbps
122.226.23.150:8888       | 有效频道:2 | 平均: 7.08 Mbps
36.99.205.139:85          | 有效频道:2 | 平均: 3.98 Mbps
222.85.198.92:8000        | 有效频道:2 | 平均: 4.26 Mbps
119.166.226.162:8082      | 有效频道:2 | 平均: 6.54 Mbps
27.41.244.244:808         | 有效频道:2 | 平均: 3.44 Mbps
1.197.204.20:85           | 有效频道:2 | 平均: 1.33 Mbps
124.165.251.82:85         | 有效频道:2 | 平均: 0.94 Mbps
1.31.14.70:54321          | 有效频道:2 | 平均:  0.5 Mbps
119.36.6.89:1111          | 有效频道:2 | 平均: 1.21 Mbps
60.174.86.121:5080        | 有效频道:2 | 平均: 3.85 Mbps
180.118.187.202:60001     | 有效频道:2 | 平均: 4.02 Mbps
183.131.110.207:85        | 有效频道:2 | 平均: 3.23 Mbps
27.9.189.66:85            | 有效频道:1 | 平均: 0.75 Mbps
101.95.21.250:10081       | 有效频道:2 | 平均: 0.74 Mbps
1.196.157.51:999          | 有效频道:2 | 平均: 8.58 Mbps
42.227.89.86:9003         | 有效频道:2 | 平均: 8.83 Mbps
182.207.218.24:999        | 有效频道:2 | 平均: 5.78 Mbps
110.178.210.60:9003       | 有效频道:2 | 平均: 4.66 Mbps
110.178.210.61:9003       | 有效频道:2 | 平均:  1.9 Mbps
210.76.37.184:1234        | 有效频道:2 | 平均: 5.34 Mbps
139.227.221.152:9901      | 有效频道:2 | 平均: 8.17 Mbps
60.26.16.10:85            | 有效频道:2 | 平均: 2.69 Mbps
110.178.211.230:9003      | 有效频道:1 | 平均: 2.04 Mbps
110.178.211.231:9003      | 有效频道:1 | 平均: 6.33 Mbps
222.142.184.218:9003      | 有效频道:2 | 平均: 9.61 Mbps
101.66.199.12:85          | 有效频道:2 | 平均: 2.87 Mbps
101.66.199.16:85          | 有效频道:2 | 平均: 0.36 Mbps
222.142.187.241:9003      | 有效频道:2 | 平均: 9.17 Mbps
183.186.144.161:85        | 有效频道:2 | 平均: 6.88 Mbps
171.15.150.85:9999        | 有效频道:2 | 平均: 0.76 Mbps
125.44.166.36:8888        | 有效频道:2 | 平均: 9.33 Mbps
14.106.99.200:888         | 有效频道:2 | 平均: 4.09 Mbps
61.52.68.53:8899          | 有效频道:2 | 平均: 8.91 Mbps
